标题,发布时间,品种,内容
陕西省商洛市商州区大荆镇白头翁行情坚挺,2026-01-08 12:21,白及,"【天地网讯】

陕西省商洛市商州区大荆镇白头翁近期货源供应量一般，商家偶有求购，行情保持坚挺运行，现合格货价格在127元上下。（信息由陕西省商洛市商州区大荆镇商家王先生13098235039提供）"
陕西省商洛市商州区大荆镇垂盆草货源供应充足,2026-01-08 12:20,垂盆草,"【天地网讯】

陕西省商洛市商州区大荆镇垂盆草目前货源供应充足，近期正常走动，行情比较平静，现统货价格在11元上下。（信息由陕西省商洛市商州区大荆镇商家王先生13098235039提供）"
陕西省商洛市商州区大荆镇鬼箭羽行情没有变化,2026-01-08 12:20,鬼箭羽,"【天地网讯】

陕西省商洛市商州区大荆镇鬼箭羽货源供应量一般，近期交易量不大，行情相比前期没有变化，现手掰货价格在100元左右。（信息由陕西省商洛市商州区大荆镇商家王先生13098235039提供）"
陕西省商洛市商州区大荆镇柴胡行情走平,2026-01-08 12:19,柴胡,"【天地网讯】

陕西省商洛市商州区大荆镇柴胡近期商家购货积极性一般，产地货源走动平平，行情没有明显的波动，现药厂货价格在65元左右，好一点的75元上下。（信息由陕西省商洛市商州区大荆镇商家王先生13098235039提供）"
陕西省商洛市商州区大荆镇苍术行情稳定运行,2026-01-08 12:18,苍术,"【天地网讯】

陕西省商洛市商州区大荆镇苍术前段时间行情有所反弹，近期商家购货量一般，行情保持平稳运行，现统货价格在27元左右，产地库存有量，但农户的出售积极性不高。（信息由陕西省商洛市商州区大荆镇商家王先生13098235039提供）"
陕西省商洛市商州区大荆镇黄芩货源充足,2026-01-08 12:18,黄芩,"【天地网讯】

陕西省商洛市商州区大荆镇黄芩目前货源保持充足，近期产地交易平平，行情平淡运行，现两年半的统货价格在14元左右。（信息由陕西省商洛市商州区大荆镇商家王先生13098235039提供）"
陕西省商洛市商州区大荆镇山茱萸货源不多,2026-01-08 12:17,山茱萸,"【天地网讯】

陕西省商洛市商州区大荆镇山茱萸的产量不大，目前产地货源不多，近期行情走平，现药厂货价格在40元上下，饮片货55元左右。（信息由陕西省商洛市商州区大荆镇商家王先生13098235039提供）"
云南省曲靖市罗平县干姜走动平稳,2026-01-08 10:49,干姜,"【天地网讯】

云南省曲靖市罗平县干姜走动平稳，行情稳定，产地货源有无硫姜制品：干姜片（中统）：14.00元/公斤左右，干姜片（强统）：14.50元/公斤左右；含硫姜制品：干姜片（中统）：13.50元/公斤左右，干姜片（强统）：14.00元/公斤左右，干姜块（次货）：13元/公斤左右，干姜块（中统）：13.60元/公斤左右，干姜块（强统）：14.50元/公斤左右。  （本信息由云南省罗平县商家李先生13769556456提供）"
山东省德州市庆云县蜂房正在产新中,2026-01-08 09:50,蜂房,"【天地网讯】

山东省德州市庆云县蜂房正在产新中， 现在大眼蜂房选货在820-840元之间， 小眼蜂房价格在640-660元左右，预计后市走动平稳。（本信息由山东省德州市 庆云县紫扬中药材种植专业合作社  赵玉亮  13675346898  提供）"
山东省德州市庆云县旋覆花行情稳中有掉,2026-01-08 09:50,旋覆花,"【天地网讯】

山东省德州市庆云县旋覆花产新结束，今年产量不如去年， 但受大环境影响， 行情稳中有掉，统货价格在30元左右 ，选货在36-40元左右。（本信息由山东省德州市 庆云县紫扬中药材种植专业合作社  赵玉亮  13675346898  提供）"
