标题,发布时间,品种,内容
甘肃岷县药材市场党参价格趋于稳定,2025-12-29 09:09,党参,"【天地网讯】

今日，岷县中国当归城市场：党参上货量增多，交易率28%左右，多以散条、药厂、小条为主，价格趋于稳定，党渣12一18元/公斤，散条23一28元/公斤，药厂33一42元/公斤，小条43一54元/公斤，中条55一77元/公斤，中大条78一87元/公斤，大条88一102元/公斤，特大条103一115元/公斤；而党参薄片、厚片、段子等在86一135元/公斤之间徘徊。（此信息由西岭源农民专业合作社18219820026<微信同号＞提供）。"
山东省潍坊市临朐县黄芩走动平稳,2025-12-29 09:06,黄芩,"【天地网讯】

山东省潍坊市临朐县黄芩走动平稳，行情稳定，产地货源充足，药厂货价格在14元左右。（本信息由山东省潍坊市临朐县山东基源中药材有限公司趁鲜企业袁小园15256199121提供）"
湖北省武汉市新洲区鳖甲快讯信息,2025-12-29 07:31,鳖甲,"【天地网讯】

今日行情,湖北省武汉市新洲区的鳖甲湖北省武汉市新洲区旧街镇鳖甲自进入市场销售淡季以来，前段时间货源走动加快，目前走动恢复平静，现本地鳖甲统货价格在75元左右"
甘肃省定西市岷县当归走货加快,2025-12-28 21:05,当归,"【天地网讯】

今日行情，甘肃省定西市岷县当归今天市场上货量大约72-77吨，成交量34%左右，市场人流量大，外地客商多，外地客商多以采购中条和大条，本地加工商按需采购，主要以切片货和中条货为主，整体走货加快，成交价格小条药厂32-38元之间不等，小条39-47元之间不等，中条48-59元之间不等，大条60-65元之间不等，特大条66元以上。（此资讯由甘肃岷县归芪参香提供15379111479）"
甘肃省定西市岷县党参成交量增加,2025-12-28 21:00,党参,"【天地网讯】

今日行情，甘肃省定西市岷县党参今天市场上货量145-150吨，成交量31%，市场人流量大，外地客商多，采购力度大，多以采购中条和大条，本地加工商按需采购，成交量较前几天增加明显，今日成交价格小条药厂33-40元之间不等，小条42-51元之间不等，中条58-80元之间不等，大条82-105元之间不等，特大条108元以上，市场货多以6-9成干。（此资讯由甘肃岷县归芪参香提供15379111479）"
甘肃省定西市岷县当归走势稳定,2025-12-28 20:53,当归,"【天地网讯】

今日行情，甘肃省定西市岷县当归走势稳定，货源充足，今天市场上货量75吨，成交量32%，市场人流量大，外地客商增加，外地客商多以采购中条和大条，本地采购商多以采购中条和切片货，整体走货较快，成交价格基本稳定，今日成交价格小条（药厂）32-37元之间不等，小条38-46元之间不等，中条48-58元之间不等，大条59-64元之间不等，特大条65元以上，今日新干当归有两车，由于干度只有5-7成干，所以新货无成交（此资讯由甘肃岷县岷芪源提供18293255658）"
甘肃省定西市岷县党参成交价格坚挺,2025-12-28 20:49,党参,"【天地网讯】

今日行情，甘肃省定西市岷县党参今天市场上货量148吨。成交量30%，市场人流量大，外地客商多，采购力度大，主要采购中条和大条，本地采购商多以采购切片货和好中条为主，采购力度大，成交价格坚挺，今日成交价格小条（药厂）37-44元之间不等，小条45-53元之间不等，中条58-79元之间不等，大条82-104元之间不等，特大条108元以上，市场货多以7-9成干为主，干度好的货高5-10元每公斤。（此资讯由甘肃岷县岷芪源提供18293255658）"
甘肃省定西市岷县黄芪走势缓慢,2025-12-28 20:43,黄芪,"【天地网讯】

今日行情，甘肃省定西市岷县黄芪（1.0-1.2瓜子片）价格为45元/公斤，走势缓慢，货源充足，今天市场上货量80吨，成交量13%，市场人流量稳定，人流量不大，整体走货缓慢，成交价格稳定，有外地客商采购0.8以上的节子，本地采购商按需采购，采购力度小，成交价格稳定，今日成交价格0.4-0.6瓜子片13-17元之间不等，0.6-0.8瓜子片19-26元之间不等，0.8-1.0瓜子片27-38元之间不等，1.0-1.2瓜子片39-50元之间不等，1.2-1.4瓜子片51-60元之间不等，1.4-1.8瓜子片61-72元之间不等，精选片价格高10元每公斤。（此资讯由甘肃岷县岷芪源提供18293255658）"
甘肃省定西市岷县当归走势稳定,2025-12-28 20:28,当归,"【天地网讯】

今日行情，甘肃省定西市岷县当归（当归药厂33-35元一公斤不等），（小条36-41元一公斤不等），（中条43-48元一公斤不等），（大条52-57元一公斤不等），（特大条63元以上一公斤不等），走势稳定，货源充足，今日岷县市场大约有30吨左右，货源充足，条形好的较快，以上价格作为参考，欢迎各位老板来电咨询。由老曾药材提供。电话15693299340同V"
甘肃省定西市岷县黄芪走势稳定,2025-12-28 20:20,黄芪,"【天地网讯】

今日行情，甘肃省定西市岷县黄芪（0.6-0.8的23-27元一公斤不等），（0.8-1.0的34-39元一公斤不等），（1.0-1.2的45-52元一公斤不等），（1.2-1.4的62元一公斤不等），走势稳定，货源充足， 今日岷县市场大约有20吨左右，片型好的较快，以上价格作为参考，欢迎各位老板来电咨询。有老曾药材提供。电话15693299340同V"
安徽省阜阳市阜南县 猫爪草 快讯信息,2025-12-28 16:35,猫爪草,"【天地网讯】

今日行情，安徽省阜阳市阜南县猫爪草近期价格稳定，目前一般统货价格38，水洗货40左右，水洗选货43左右，因价格低，商家购货积极，走动加快。（产地商家陈书玲：17754881336）"
山东省临朐县丹参走势价格稳定库存有量,2025-12-28 10:33,丹参,"【天地网讯】

今日行情,山东省潍坊市临朐县的丹参(统)走势稳定,货源充足。黄芩产新已到尾声 目前价格平稳 库存有量 统货价格在14元左右"
